"Price","Living.Area","Bathrooms","Fireplaces","Lot.Size","Age"
106365,1184,2,1,0.15,20
238951,2641,3,1,0.39,1
116589,1184,2,0,0.16,18
170345,1952,2,1,0.15,33
218517,2038,2.5,1,0.98,13
97739,1276,2,1,0.17,26
105035,908,1,0,0.17,21
233876,2434,2.5,1,1,20
104651,912,1.5,1,0.17,19
212932,2494,2.5,1,0.53,13
278906,2960,2.5,1,0.37,1
160571,1294,1.5,1,0.32,17
184315,2152,2.5,0,0.3,8
100967,988,1,0,0.15,20
220261,2712,2.5,0,0.5,1
189665,2203,2.5,1,0.57,1
240590,3001,2.5,1,0.31,1
169407,2310,2.5,1,0.47,33
127394,2040,2.5,0,0.07,127
222576,3144,2.5,1,0.49,1
200510,1806,2,0,0.8,40
155787,1540,1.5,0,0.43,16
186348,2011,2.5,1,0.37,14
217868,3344,3.5,1,0.36,1
208635,2714,3,0,0.55,1
82019,1518,1,0,0.04,130
183066,1836,2.5,0,0.44,9
236215,2066,2.5,1,0.39,2
150849,1423,1.5,1,0.34,9
178216,1512,2,1,0.77,12
196846,2144,2.5,1,0.92,19
135167,1610,2,0,0.1,17
65550,1196,1.5,0,0.15,56
143697,1376,1.5,1,0.53,14
112153,1834,2,0,0.43,65
163310,1720,1.5,0,0.36,19
117907,1295,1.5,0,0.13,125
49211,800,1,0,0.46,55
187003,1868,2.5,1,0.36,13
135823,1946,1.5,0,0.38,18
113514,1142,2,1,0.76,40
102530,1202,1.5,0,0.15,18
75975,1300,2,1,0.49,227
128434,1508,1.5,1,0.31,19
185487,2271,2.5,1,0.35,1
126082,1592,1.5,1,0.16,18
98333,912,1.5,0,0.16,18
104556,1673,2,0,0.15,18
157081,2310,2.5,1,0.55,33
92852,912,1.5,0,0.15,20
238951,2641,3,1,0.39,1
242952,1708,2,1,0.17,14
75399,988,1,0,0.15,20
220765,2058,2.5,1,0.31,1
163992,2310,2.5,1,0.45,33
233876,2434,2.5,1,1,20
160571,1612,2,1,0.95,15
251699,3081,2.5,1,0.3,1
102626,1227,1,1,0.24,115
203478,2762,3,1,0.54,1
354739,3982,4.5,1,5.61,6
184654,2212,2.5,1,0.32,18
125361,1173,1,1,0.45,16
237062,2604,2.5,1,0.33,0
155787,1540,1.5,0,0.43,16
236829,2472,3.5,1,0.31,0
107743,1184,1.5,0,0.16,18
210743,2120,2.5,0,0.54,10
216841,2472,2.5,1,0.33,0
118517,1592,1.5,0,0.17,18
116795,1404,1.5,1,0.48,28
158789,3344,2.5,1,0.37,0
200126,1690,2.5,1,0.46,5
178216,1512,2,1,0.77,12
101375,1820,1.5,0,0.54,35
103672,1476,2,0,0.66,6
110234,1652,1.5,1,0.38,105
206931,2331,2.5,1,1,1
89893,960,1,0,0.36,48
31113,1540,1,0,0.04,115
59043,1668,1.5,0,0.06,115
94064,912,1,0,0.35,37
50483,743,1,0,0.05,105
253433,3021,2.5,1,0.72,21
144335,1274,2,1,0.48,20
54210,792,1,0,0.4,55
93895,960,1,0,0.26,48
130574,1600,1,0,0.27,57
94486,1150,1,0,0.34,45
109577,1456,1.5,0,0.15,155
253973,2464,2.5,2,1,2
326330,1326,1,0,2,52
284154,2808,2.5,1,0.6,1
115771,1479,1.5,0,0.06,17
201876,2498,2.5,1,0.43,38
99491,1064,1,0,0.31,45
151950,1792,2,1,0.64,17
278936,3121,3,1,0.62,0
101230,1032,1,1,0.12,23
223055,2668,2.5,1,0.3,0
237716,2996,2.5,1,0.35,1
180817,1815,2.5,1,0.46,11
101230,1281,1,0,0.19,8
181516,2204,1.5,1,0.48,31
191988,2096,3,1,0.28,18
183610,2570,2.5,1,0.6,28
237367,2936,2.5,1,0.33,6
296708,3210,2.5,1,1,15
272902,3020,2.5,1,0.41,1
196875,2086,2.5,1,0.47,17
139627,1980,1,0,7.16,205
129155,1260,1.5,1,0.06,27
198969,1938,2.5,1,0.63,26
205950,2284,2.5,1,0.56,18
208743,1804,2.5,1,0.23,4
112400,1375,1.5,1,0.06,20
174534,2226,2.5,1,0.43,31
106117,1480,1.5,0,0.08,21
107743,1228,1.5,0,0.21,21
154499,1886,1.5,1,0.28,31
136203,1479,1.5,1,0.06,20
379472,3440,4,1,0.77,1
189736,2588,2.5,1,0.35,31
308253,2880,2.5,1,0.66,9
134171,2133,1.5,1,0.28,34
120279,1056,1,0,0.34,5
112825,1314,1.5,1,0.06,20
251400,2741,2.5,1,0.26,2
125361,1326,1.5,1,0.06,19
94868,1380,1,0,0.89,105
110182,1480,1.5,1,0.29,20
180927,2050,1.5,0,0.31,33
233714,2338,2.5,1,0.47,16
172795,1910,2.5,0,0.41,21
150772,1652,2,1,0.48,20
329328,3542,3.5,1,0.56,1
88092,929,1.5,0,0.18,22
187026,1831,2,1,0.47,19
132138,1468,1.5,1,1.11,161
163986,2039,2.5,1,0.52,18
159920,1794,2,0,0.15,37
150434,1666,1.5,0,0.56,38
216530,2388,2.5,1,0.83,20
262461,2505,2.5,1,0.03,1
206688,2284,2.5,1,0.46,17
190284,1879,2.5,1,0.27,5
157476,1664,2,1,0.49,34
347761,3820,4.5,1,1.4,18
262461,2809,2.5,0,0.25,2
194877,2066,2.5,1,0.65,35
166335,1664,2,1,0.51,37
193565,2350,2.5,1,0.3,15
232934,2116,2.5,1,0.55,20
108593,1480,1.5,0,0.08,19
124013,1524,1.5,0,0.71,180
100938,1034,1.5,0,0.16,15
94064,1480,2.5,1,0.18,16
109042,880,1,0,0.34,56
159175,1512,2,0,0.25,12
94667,912,1,0,0.51,34
150434,1611,2,1,0.17,83
149756,1470,2.5,1,0.23,11
218475,2748,2.5,1,0.17,0
172795,1512,1.5,1,0.18,15
158565,1512,1.5,0,0.3,14
60309,2039,1,0,0.24,55
98256,1480,2.5,1,0.07,16
238832,2872,3,1,0.21,0
140269,1244,1.5,1,0.28,13
98423,1355,1,0,0.47,60
131165,1564,2,0,0.24,13
93174,1022,1,0,0.44,55
93895,1480,1.5,1,0.22,17
213249,1904,2,2,2,2
149078,1592,1.5,1,0.64,9
155855,1332,1.5,1,0.86,9
101375,960,1,0,0.46,19
260485,2143,2.5,0,0.1,6
108958,1514,1.5,0,0.17,19
228291,1986,2.5,1,0.36,1
214749,2286,2.5,1,0.49,11
256417,2752,3,1,0.94,9
173082,1656,2.5,1,0.35,18
295426,3370,3,1,0.11,11
193774,1932,2.5,1,0.41,4
100003,1184,2,0,0.16,19
222330,2712,3,1,0.43,1
197350,2500,3.5,1,0.21,1
95708,912,1.5,0,0.16,20
249250,2604,2.5,1,0.27,1
157055,1836,1.5,1,0.36,106
102287,882,1.5,0,0.18,71
178851,2002,2.5,1,1.03,14
95708,912,1.5,0,0.16,20
135901,1508,1.5,0,0.34,21
44873,882,1.5,0,0.18,71
182056,2396,2.5,1,0.27,28
205070,2460,2.5,1,0.5,1
201928,2322,2.5,1,0.42,22
108785,1480,1.5,0,0.07,22
270841,2306,2.5,1,0.79,1
185902,2756,2.5,1,0.39,33
150581,1664,2,1,0.49,33
479670,3956,2.5,2,1,15
285769,3125,2.5,1,0.53,3
247125,2835,3,1,0.52,1
203240,2464,2.5,1,0.58,42
207751,2628,2.5,2,1,20
124939,1099,1,0,0.39,9
80130,1225,1,1,0.24,48
227314,2764,2.5,1,0.07,1
199733,840,1,0,0.35,50
49564,1363,2,0,2.4,39
106950,1472,1,1,0.93,28
158338,1836,2.5,1,1,15
169876,1774,2.5,1,0.36,1
147440,1590,2.5,0,0.42,3
208339,2109,2.5,0,0.26,1
148496,1470,1.5,0,0.35,12
197956,2314,2.5,1,NA,1
67951,1040,1,0,0.17,19
121798,1308,1,0,0.46,29
242955,1954,1.5,1,0.22,66
455140,1764,2.5,1,0.17,86
217314,2498,2.5,1,0.3,14
141029,1874,2.5,1,0.54,31
318121,2892,3.5,1,7.76,1
153850,2400,2,0,2.26,26
88092,1572,1.5,1,0.06,50
124939,1678,2.5,1,0.27,1
107973,1388,1,0,0.23,60
119875,1512,1.5,1,1,61
66027,1653,2,0,0.48,79
182649,1758,2.5,1,0.27,1
206480,2310,2.5,0,1,18
107695,1802,2,1,0.97,56
236737,3239,3.5,2,2.5,1
154829,1440,2,1,0.61,66
179492,2030,2.5,1,1,3
189108,2097,2.5,1,1.93,10
